DEPTH:1,CALI,AT10,AT30,AT60,AT90,GR,Rv,Rh,Csh_pred,Rss_pred,Rvsh,Rhsh,Rv_sim,Rh_sim,Rv_err,Rh_err
10064.0,12.6861,0.5358,0.4326,0.4066,0.4109,36.758,0.78,0.3718,0.81068957,-1.4315889,0.775,0.775,2.009455,1.0943155,157.62243148608084,194.32908253621002
10064.25,12.6861,0.543,0.435,0.4077,0.4074,34.0123,0.7756,0.3694,0.8100438,-1.4261364,0.775,0.775,2.0077498,1.0964653,158.86407889552558,196.82332138532422
10064.5,12.6861,0.5501,0.4373,0.4087,0.4039,31.2666,0.7728,0.3704,0.80970526,-1.4232728,0.775,0.775,2.0068595,1.0976,159.68679359980987,196.32828920500322
10064.75,12.6607,0.5542,0.4407,0.4103,0.4005,31.1565,0.7707,0.3742,0.80953944,-1.4218566,0.775,0.775,2.0064268,1.098159,160.33823942107972,193.46845418867872
10065.0,12.6352,0.5583,0.444,0.4118,0.397,31.0463,0.7687,0.3801,0.8094476,-1.4210548,0.775,0.775,2.0061908,1.098471,160.98488055482647,188.99527637308066
10065.25,12.6497,0.5591,0.4403,0.4069,0.3929,30.0357,0.7666,0.3872,0.8093773,-1.4204304,0.775,0.775,2.0060122,1.0987113,161.67651986814562,183.75807133587924
10065.5,12.6643,0.5598,0.4367,0.4019,0.3887,29.025,0.7646,0.3946,0.8093288,-1.4199886,0.775,0.775,2.0058908,1.0988786,162.3451276814598,178.4791236834905
10065.75,12.6134,0.5583,0.4348,0.3996,0.3862,28.2511,0.7628,0.4014,0.8092892,-1.4196247,0.775,0.775,2.0057929,1.0990155,162.95134454856196,173.79558403573944
10066.0,12.5625,0.5567,0.4328,0.3974,0.3837,27.4771,0.7611,0.4068,0.8092222,-1.4190357,0.775,0.775,2.0056217,1.0992442,163.51618337624961,170.21736404771534
10066.25,12.5734,0.5544,0.4293,0.394,0.3799,26.5809,0.759,0.4106,0.80905604,-1.4176196,0.775,0.775,2.0051887,1.0998076,164.1882349851103,167.85377984620624
10066.5,12.5843,0.5522,0.4258,0.3905,0.376,25.6847,0.7552,0.4128,0.80861914,-1.4139353,0.775,0.775,2.0040455,1.1012897,165.3661925913924,166.78530744803967
10066.75,12.5643,0.5437,0.4217,0.3882,0.3747,25.8748,0.7473,0.4134,0.80759233,-1.4053228,0.775,0.775,2.0013623,1.1048001,167.81243459935587,167.2472436127019
10067.0,12.5443,0.5352,0.4175,0.3859,0.3735,26.065,0.7315,0.4127,0.8054703,-1.3876424,0.775,0.775,1.9958502,1.112187,172.84350039937766,169.49043565088763
10067.25,12.5498,0.5295,0.4133,0.3824,0.3718,26.5086,0.7039,0.4105,0.8016916,-1.3565228,0.775,0.775,1.9861486,1.1258067,182.1634601235881,174.2525430602656
10067.5,12.5553,0.5238,0.4091,0.379,0.3702,26.9522,0.6625,0.4067,0.7959052,-1.3097241,0.775,0.775,1.9715732,1.1479157,197.5959597893481,182.2512222620202
10067.75,12.588,0.5172,0.4034,0.3755,0.3675,26.0863,0.6099,0.4011,0.7883494,-1.2500793,0.775,0.775,1.9530468,1.1793631,220.22410209969743,194.03219434633064
10068.0,12.6207,0.5105,0.3976,0.3721,0.3649,25.2203,0.5528,0.3943,0.77989453,-1.1851587,0.775,0.775,1.9329834,1.2186242,249.67138177234082,209.06016591415772
10068.25,12.6207,0.5047,0.3932,0.3675,0.3634,24.7166,0.4993,0.3869,0.7717212,-1.1240848,0.775,0.775,1.9142469,1.2615278,283.3861239276858,226.06042303389495
10068.5,12.6207,0.4989,0.3888,0.3629,0.3619,24.2129,0.455,0.38,0.7647671,-1.0733275,0.775,0.775,1.898808,1.3027041,317.32044010371953,242.8168673264353
