DEPTH,CAL,AT10,AT30,AT60,AT90,GR,Rv,Rh,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err
8824.5,4.3127,0.9841,0.8411,0.7335,0.817,38.8716,1.0074,0.8531,2.78,0.58,AkerBP,2.0,0.17644815,0.76111263,1.1173415377736091,0.7213666053772732,10.913394656899843,15.441729530269232
8824.75,4.3116,1.0029,0.8438,0.742,0.7813,38.629,1.0109,0.868,2.78,0.58,AkerBP,2.0,0.17541328,0.783773,1.1339377325773239,0.7382742650738594,12.171108178585815,14.945361166606059
8825.0,4.3105,1.0119,0.8404,0.7671,0.7616,38.3863,1.0114,0.8706,2.78,0.58,AkerBP,2.0,0.17516488,0.7877439,1.1367172372341154,0.7412382953673838,12.390472338749788,14.858913925179898
8825.25,4.3094,1.0117,0.8159,0.7654,0.7309,37.4149,1.0108,0.8704,2.78,0.58,AkerBP,2.0,0.17487983,0.78737724,1.1358467915654182,0.7410415683376057,12.371071583440674,14.861952167094927
8825.5,4.3083,1.0191,0.8209,0.7687,0.7142,36.4435,1.0087,0.8689,2.78,0.58,AkerBP,2.0,0.17404225,0.78488773,1.1321216052770615,0.7394268521366325,12.235709851993812,14.900811124797734
8825.75,4.3072,1.003,0.7973,0.763,0.7037,36.8165,1.0042,0.8656,2.78,0.58,AkerBP,2.0,0.17226397,0.7794358,1.1240609350800514,0.7358486859054497,11.93596246564942,14.98975440094158
8826.0,4.306,0.9933,0.7687,0.7378,0.6808,37.1894,0.9985,0.8615,2.78,0.58,AkerBP,2.0,0.16999549,0.7726735,1.113909946680069,0.7313716463201865,11.558332166256283,15.104858233292346
8826.25,4.3049,0.9713,0.7566,0.7244,0.6714,37.5303,0.9941,0.8583,2.78,0.58,AkerBP,2.0,0.16825186,0.7674192,1.106039687693119,0.7278473820600606,11.260405159754441,15.198953505760148
8826.5,4.3038,0.9553,0.7569,0.7243,0.6674,37.8711,0.992,0.8568,2.78,0.58,AkerBP,2.0,0.16741462,0.76495755,1.102305142581463,0.7261883693284975,11.119470018292636,15.244121226832691
8826.75,4.3027,0.9572,0.7623,0.729,0.6713,37.8927,0.9912,0.8562,2.78,0.58,AkerBP,2.0,0.1671011,0.763978,1.100857536494732,0.7255217006640309,11.0631090087502,15.262590438678941
8827.0,4.3016,0.9777,0.7567,0.7188,0.6748,37.9143,0.9898,0.8548,2.78,0.58,AkerBP,2.0,0.16661865,0.76174545,1.0980242884159088,0.7239476486049872,10.9339551844725,15.307949391087137
8827.25,4.3005,0.9725,0.7713,0.7344,0.6617,38.2436,0.9824,0.847,2.78,0.58,AkerBP,2.0,0.16413358,0.74940586,1.0826945608854293,0.7151228629280292,10.209136897946784,15.569909925852516
8827.5,4.2994,0.9931,0.7873,0.7508,0.6917,38.5729,0.9573,0.8209,2.78,0.58,AkerBP,2.0,0.15554011,0.7088403,1.0309887170791625,0.6851667990779021,7.69755740929306,16.534681559519775
8827.75,4.2983,0.9907,0.7738,0.7428,0.6914,38.0998,0.9081,0.7706,2.78,0.58,AkerBP,2.0,0.1383447,0.63470066,0.931491459608078,0.6265260621277234,2.575868253284658,18.696332451632042
8828.0,4.2972,0.9359,0.7311,0.7036,0.6662,37.6266,0.852,0.7143,2.78,0.58,AkerBP,2.0,0.118794285,0.56053185,0.8241920115053654,0.5627758662590059,3.263848414863218,21.21295446464989
8828.25,4.2961,0.8739,0.6996,0.6752,0.647,37.515,0.8128,0.6759,2.78,0.58,AkerBP,2.0,0.10549974,0.51723677,0.7559576876461506,0.5232099238376683,6.993394728573992,22.590631182472507
8828.5,4.295,0.8467,0.6841,0.6629,0.6321,37.4033,0.7956,0.6592,2.78,0.58,AkerBP,2.0,0.09983725,0.500687,0.7282473640143872,0.5076171894888838,8.465640521067472,22.994965186759135
8828.75,4.2939,0.8042,0.6757,0.6624,0.6512,37.3921,0.7909,0.6546,2.78,0.58,AkerBP,2.0,0.09831471,0.49640346,0.7209146027266979,0.5035387366591144,8.848830101568101,23.076881048103505
8829.0,4.2928,0.7656,0.6333,0.6255,0.6277,37.381,0.7912,0.6542,2.78,0.58,AkerBP,2.0,0.09845485,0.49615917,0.7210143885016441,0.5033224189442044,8.870780017486842,23.062913643502846
8829.25,4.2917,0.7089,0.5936,0.5836,0.587,37.1404,0.7977,0.6565,2.78,0.58,AkerBP,2.0,0.10083164,0.4989872,0.7289854833483695,0.5061152710085173,8.614080061630993,22.90704173518396
8829.5,4.2906,0.7028,0.5818,0.5757,0.5672,36.8998,0.8215,0.665,2.78,0.58,AkerBP,2.0,0.10988997,0.50948346,0.7589904513955116,0.5163825539704497,7.609196421727137,22.348488124744403
8829.75,4.2895,0.7171,0.5873,0.5843,0.578,36.7302,0.8771,0.6836,2.78,0.58,AkerBP,2.0,0.1332961,0.53339267,0.8328566402196884,0.5391678825989825,5.044277708392609,21.128162288036496
8830.0,4.2884,0.747,0.613,0.6089,0.6027,36.5605,0.9606,0.7092,2.78,0.58,AkerBP,2.0,0.17360967,0.56794506,0.9519792115688324,0.5700018231322789,0.8974378962281541,19.627492508138914
8830.25,4.2873,0.782,0.6531,0.6496,0.6437,36.6628,1.0374,0.7305,2.78,0.58,AkerBP,2.0,0.21429919,0.5982289,1.065780647099018,0.5942266465553362,2.735747744266242,18.654805399680196
8830.5,4.2862,0.8088,0.6811,0.6785,0.6751,36.7651,1.0782,0.741,2.78,0.58,AkerBP,2.0,0.23635331,0.6138244,1.1258072191476822,0.6054786969743722,4.415434905182914,18.2889747672912
8830.75,4.2851,0.8271,0.7259,0.7302,0.7235,38.4448,1.0906,0.7443,2.78,0.58,AkerBP,2.0,0.24298644,0.6187746,1.1439230489730834,0.6088836989403023,4.889331466448136,18.193779532405983
8831.0,4.284,0.8863,0.767,0.7798,0.7722,40.1244,1.0943,0.7466,2.78,0.58,AkerBP,2.0,0.24477655,0.62187195,1.1501310658454895,0.6110735921132135,5.1019890199661395,18.15247895617285
8831.25,4.2829,1.0031,0.8255,0.825,0.8297,42.0806,1.103,0.7573,2.78,0.58,AkerBP,2.0,0.2481892,0.63593626,1.1680696919560432,0.6210704372227287,5.899337439351148,17.988850228082832
8831.5,4.2818,1.0613,0.917,0.946,0.9303,44.0368,1.1338,0.7966,2.78,0.58,AkerBP,2.0,0.25902122,0.6913221,1.2323340117931365,0.6585806492133641,8.69059902920591,17.32605458029574
8831.75,4.2807,1.1874,1.0178,1.0531,1.0378,46.6278,1.2049,0.8952,2.78,0.58,AkerBP,2.0,0.27546299,0.8474122,1.3797686433792113,0.751916071784334,14.51312502109812,16.00580073901542
8832.0,4.2796,1.4025,1.1795,1.2104,1.1972,49.2189,1.3104,1.0643,2.78,0.58,AkerBP,2.0,0.27313533,1.1324409,1.5824475520849228,0.8986505496874233,20.760649579130252,15.56416896669893
8832.25,4.2785,1.654,1.2938,1.3299,1.3148,49.3748,1.4064,1.2479,2.78,0.58,AkerBP,2.0,0.24230772,1.4289945,1.7563536298274993,1.0548529021945083,24.882937274424005,15.469757016226596
